Unnamed: 0,case_id,file_id,file_type_id,company_name,date,field_id,gold_from_type,gold_from,gold_page_id,gold_value,template_match,template_page_id,template_value,model_match,model_page_id,model_value,ensemble_match,ensemble_page_id,ensemble_value
0,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_1,Table,CONSOLIDATED STATEMENTS OF OPERATIONS,41.0,265595.0,False,24.0,265595.0,False,,,False,24.0,265595.0
1,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_1,Table,Selected Financial Data,24.0,265595.0,True,24.0,265595.0,False,,,True,24.0,265595.0
2,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_1,Table,Gross Margin,29.0,265595.0,False,24.0,265595.0,False,,,False,24.0,265595.0
3,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_1,Table,Segment Information and Geographic Data,66.0,265595.0,False,24.0,265595.0,False,,,False,24.0,265595.0
4,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_1,Table,Segment Information and Geographic Data,67.0,265595.0,False,24.0,265595.0,False,,,False,24.0,265595.0
5,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_2,Table,CONSOLIDATED STATEMENTS OF OPERATIONS,41.0,163756.0,False,29.0,163756.0,False,,,False,29.0,163756.0
6,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_2,Table,Gross Margin,29.0,163756.0,True,29.0,163756.0,False,,,True,29.0,163756.0
7,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_3,,,,,True,,,True,,,True,,
8,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_4,,,,,True,,,True,,,True,,
9,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_5,Table,CONSOLIDATED STATEMENTS OF OPERATIONS,41.0,101839.0,False,29.0,101839.0,False,,,False,29.0,101839.0
10,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_5,Table,Gross Margin,29.0,101839.0,True,29.0,101839.0,False,,,True,29.0,101839.0
11,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_11,,,,,True,,,True,,,True,,
12,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_12,,,,,True,,,True,,,True,,
13,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_21,Table,"Other Income/(Expense), Net",30.0,-3240.0,False,,,False,,,False,,
14,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_21,Table,"Other Income/(Expense), Net",55.0,-3240.0,False,,,False,,,False,,
15,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_37,Table,CONSOLIDATED STATEMENTS OF OPERATIONS,41.0,13372.0,False,,,False,,,False,,
16,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_37,Table,Provision for Income Taxes,31.0,13372.0,False,,,False,,,False,,
17,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_37,Table,Provision for Income Taxes and Effective Tax Rate,56.0,13372.0,False,,,False,,,False,,
18,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,CONSOLIDATED STATEMENTS OF OPERATIONS,41.0,59531.0,False,24.0,59531.0,False,,,False,24.0,59531.0
19,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,Selected Financial Data,24.0,59531.0,True,24.0,59531.0,False,,,True,24.0,59531.0
20,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,CONSOLIDATED STATEMENTS OF COMPREHENSIVE INCOME,42.0,59531.0,False,24.0,59531.0,False,,,False,24.0,59531.0
21,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,CONSOLIDATED STATEMENTS OF SHAREHOLDERS’ EQUITY,44.0,59531.0,False,24.0,59531.0,False,,,False,24.0,59531.0
22,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,CONSOLIDATED STATEMENTS OF CASH FLOWS,45.0,59531.0,False,24.0,59531.0,False,,,False,24.0,59531.0
23,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_38,Table,Earnings Per Share,48.0,59531.0,False,24.0,59531.0,False,,,False,24.0,59531.0
24,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_39,,,,,True,,,True,,,True,,
25,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_PL_43,,,,,True,,,True,,,True,,
26,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_BS_2,Table,CONSOLIDATED BALANCE SHEETS,43.0,131339.0,True,43.0,131339.0,False,,,True,43.0,131339.0
27,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_BS_60,Table,CONSOLIDATED BALANCE SHEETS,43.0,258578.0,True,43.0,258578.0,False,,,True,43.0,258578.0
28,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_BS_61,Table,CONSOLIDATED BALANCE SHEETS,43.0,116866.0,True,43.0,116866.0,False,,,True,43.0,116866.0
29,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_BS_62,Table,CONSOLIDATED BALANCE SHEETS,43.0,11964.0,False,33.0,11964.0,False,,,False,33.0,11964.0
30,-3917355044621153123,-3917355044621153123,AR,APPLE INC. AR 2018.json,2018,E_BS_62,Table,Liquidity and Capital Resources,33.0,11964.0,True,33.0,11964.0,False,,,True,33.0,11964.0
